Institute,Country
AGH UST Krakow,Poland
AGH Univ. of Science amp; Technology,Krakow
AGH Univ. of Science and Technology,Krakow (PL)
AGH University of Krakow,USA
AGH University of Krakow (PL),USA
AGH University of Science and  Technology (PL),Poland
AGH University of Science and Technology,Poland
AGH Univesity of Science and  Technology (PL),Poland
Abilene Christian University,India
Acad. of Sciences of the Czech Rep. (CZ),Czech Republic
Academia Sinica,Unknown
Akita International University,India
Augustana College,USA
BNL,USA
BROOKHAVEN NATIONAL LABORATORY,USA
BUW,Unknown
Baruch College,USA
Baruch College (City University of New York),Unknown
Ben Gurion University of the Negev,USA
Ben-Gurion University of the Negev (IL),USA
Bergische Universität Wuppertal,Germany
Bhabha Atomic Research Centre (IN),India
Bielefeld University,India
Bogolubov Institute for Theoretical Physics,Unknown
Bogolyubov Institute for Theoretical Physics,Unknown
Brookhaven,USA
Brookhaven  National Lab,USA
Brookhaven National Lab,USA
Brookhaven National Lab.,USA
Brookhaven National Laboratory,USA
Brookhaven National Laboratory (BNL),USA
Brookhaven National Laboratory (BNL)- Stony Brook University,USA
Brookhaven National Laboratory (BNL)-Unknown-Unknown,USA
Brookhaven National Laboratory (US),USA
Brookhaven National Laboratory and University of Bielefeld,USA
Brookhaven Nationanl Laboratory,USA
Brookhaven national laboratory,USA
CCNU,Wuhan & LPSC
CCNU Wuhan,LBNL
CCNU/LBNL,USA
CEA,Paris-Saclay University
CEA - Centre d'Etudes de Saclay (FR),France
CEA-Saclay,France
CEA/IRFU,Centre d'etude de Saclay Gif-sur-Yvette (FR)
CERN,Switzerland
CERN (CH),Switzerland
CNRS,France
CPHT - Ecole Polytechnique,Unknown
CUHK-SZ,Unknown
CUHK-Shenzhen,Unknown
Center for Computational Sciences,University of Tsukuba
Center for Frontiers in Nuclear Science,Stony Brook University
Central China Normal Univ / Lawrence Berkeley National Lab,USA
Central China Normal University,China
Central China Normal University  CCNU (CN),China
Central China Normal University (CCNU),China
Central China Normal University (CCNU) & Brookhaven National Laboratory (BNL),USA
Central China Normal University (CN),China
Central China Normal University / Tsinghua University,China
Central China Normal University CCNU,China
Central China Normal University.,India
Central China Normal University/Lawrence Berkeley National Lab,USA
Centre National de la Recherche Scientifique (FR),France
Centre national de la recherche scientifique,Unknown
Centro Multidisciplinar de Astrofisica/BITP,Unknown
"Centro Studi e ricerche ""Enrico Fermi"" - Rome (Italy)",USA
Charles University,India
Charles University (CZ),India
China Institute of Atomic Energy (CN),India
China University of Geosciences,USA
Chonnam National University (KR),India
Columbia University,New York
Columbia University (US),India
Columbia University and Charles University,USA
Comenius University (SK),India
Creighton University (US),India
Czech Academy of Sciences (CZ),Czech Republic
Czech Technical University  in Prague (CZ),Czech Republic
Czech Technical University (CZ),India
Czech Technical University in Prague,Czech Republic
DESY,Germany
Dalian University of Technology,USA
Department of Atomic Energy (IN),India
Department of Physics and Astronomy-College of Science-Wayne Sta,Unknown
Department of Physics and Technology,Unknown
Department of Physics-Ohio State University,USA
Department of Physics-University of Jyvaskyla,Finland
Duke Physics,USA
Duke University,India
Duke university,India
ECT*,Unknown
ECU,Unknown
EMMI/GSI,Germany
EWHA Womens University,South Korea
Eberhard Karls Universität Tübingen (DE),Germany
Ecole Polytechnique,CPHT
Ecole Polytechnique (FR),France
Engin. & Phys. Sci. Research Coun. (GB),United Kingdom
Eotvos University,India
Eötvös University,India
FBK - Fondazione Bruno Kessler (IT),Italy
FIAS,Goethe-University Frankfurt am Main
FIAS & Uni of Wroclaw,Unknown
FIAS Frankfurt,Germany
FNSPE CTU in Prague,Czech Republic
Federal University of Alfenas,USA
Federico Santa Maria Technical University (CL),Chile
Florda State University,USA
