Last Name	First Name	Affiliation	Country
Abdelrahman	Niseem	Stony Brook University	United States
Acharya	Shreyasi	Variable Energy Cyclotron Centre (VECC)	India
Adams	Joseph	Ohio State University	United States
Adhya	Souvik Priyam	Variable Energy Cyclotron Centre, Kolkata, India	India
Adolfsson	Jonatan	Lund University (SE)	Sweden
Aiola	Salvatore	Yale University (US)	Italy
Aizenberg	Iakov	Weizmann Institute of Science (IL)	Israel
AKIBA	YASUYUKI	RIKEN	Japan
Akishina	Valentina	Frankfurt University	Germany
Allton	Chris	Swansea University	United Kingdom
Alqahtani	Mubarak	Imam Abdulrahman Bin Faisal university	Saudi Arabia
Altenkamper	Lucas	University of Bergen (NO)	Norway
Altsybeev	Igor	St Petersburg State University (RU)	Russia
Alves Garcia Prado	Caio	Institute of Particle Physics - CCNU	China
Ambrus	Victor Eugen	West University of Timisoara	Romania
Andrews	Harry Arthur	University of Birmingham (GB)	United Kingdom
Andronic	Anton	University of Muenster	Germany
Andronov	Evgeny	St Petersburg State University (RU)	Russia
Angerami	Aaron	LLNL (US)	United States
Antinori	Federico	Universita e INFN, Padova (IT)	Italy
Antonioli	Pietro	Universita e INFN, Bologna (IT)	Italy
Aoyama	Ryo	University of Tsukuba	Japan
Apadula	Nicole	UC Berkeley	United States
Apolinário	Liliana	LIP	Portugal
Appelshaeuser	Harald	Johann-Wolfgang-Goethe Univ. (DE)	Germany
Argintaru	Danut	Bucharest University, and Constanta Maritime University,	Romania
Arnaldi	Roberta	INFN Torino (IT)	Italy
Arratia	Miguel	University of California Berkeley (US)	United States
Arsene	Ionut Cristian	University of Oslo (NO)	Norway
Arslandok	Mesut	Physikalisches Institut Heidelberg	Germany
Asakawa	Masayuki	Osaka University	Japan
Astrakhantsev	Nikita	Institute for Theoretical and Experimental Physics	Russia
Audurier	Benjamin	Universita e INFN, Cagliari (IT)	Italy
Auvinen	Jussi	Institute of Physics Belgrade	Serbia
AZMI	MOHD DANISH	ALIGARH MUSLIM UNIVERSITY	India
Baban	Valerica	Constanta Maritime University - Bucharest University	Romania
Badala	Angela	INFN- Sezione di Catania	Italy
Badea	Anthony	Massachusetts Inst. of Technology (US)	United States
Bailhache	Raphaelle	Johann-Wolfgang-Goethe Univ. (DE)	Germany
Bala	Renu	University of Jammu (IN)	India
Balali	Mahboobe	yazd uni	Iran
Baldisseri	Alberto	Université Paris-Saclay (FR)	France
Balek	Petr	Weizmann Institute of Science (IL)	Israel
Barbosa	Leonardo	Instituto de Física da Universidade de São Paulo	Brazil
Barioglio	Luca	Universita e INFN Torino (IT)	Italy
Barnafoldi	Gergely Gabor	Wigner RCP Hungarian Academy of Sciences (HU)	Hungary
Barnby	Lee	University of Derby (GB)	United Kingdom
Bartsch	Esther	Goethe Universität Frankfurt	Germany
Bass	Steffen A.	Duke University	United States
Bathe	Stefan	Baruch College, CUNY	United States
