First Name	Last Name	Affiliation
Aaron	Capon	Stefan Meyer Institute for Subatomic Physics (SMI), Austrian Academy of Sciences (AT)
Abhijit	Majumder	Wayne State University
Adam	Bzdak	AGH University of Science and Technology
Adam	Kisiel	JINR/Warsaw University of Technology (PL)
Adam	Takacs	University of Bergen
Adrian	Rodriguez	Goethe University Frankfurt am Main
Adrian Amatus	Weber	JLU Gießen
Adrian Fereydon	Nassirpour	Lund University (SE)
Agnieszka	Wergieluk	University of California, Los Angeles
Ahsan Mehmood	Khan	Central China Normal University CCNU (CN)
Aihong	Tang	Brookhaven National Laboratory
Ailec de la Caridad	Bell Hechavarria	Westfaelische Wilhelms-Universitaet Muenster (DE)
Akihiko	Monnai	High Energy Accelerator Research Organization (KEK)
Aleksas	Mazeliauskas	Heidelberg University/ CERN
Alessandro	De Falco	Universita e INFN, Cagliari (IT)
Alessandro	Grelli	Utrecht University (NL)
Alexander	Milov	Weizmann Institute of Science (IL)
Alexander	Rothkopf	University of Stavanger
Alexander Philipp	Kalweit	CERN
Alexandra	Neagu	University of Oslo (NO)
Alexandre	Lebedev	Iowa State University (US)
Alexandru	Parvan	Joint Institute for Nuclear Research
Alexandru Florin	Dobrin	Institute of Space Science (RO)
Alina	Czajka	National Centre for Nuclear Research
Alwina	Liu	University of California Berkeley (US)
Amaresh	Jaiswal	National Institute of Science Education and Research
Amit	Kumar	Wayne State University
Anar	Rustamov	GSI/National Nuclear Research Center (AZ)
Andre Govinda	Stahl Leiton	Rice University (US)
Andrea	Dainese	INFN - Padova
Andrea	Danu	Institute of Space Science (RO)
Andrea	Dubla	GSI
Andrea	Rossi	Universita e INFN, Padova (IT)
Andreas	Ipp	TU Wien
Andreas	Morsch	CERN
Andrey	Seryakov	St Petersburg State University (RU)
Angela	Badala	INFN - Sezione di Catania
Angelika Magdalena	Tefelska	Warsaw University of Technology (PL)
Anjali	Sharma	Panjab University (IN)
Anke	Lei	Wuhan University of Technology
Anna	Schäfer	Frankfurt Institute for Advanced Studies (FIAS)
Anne Marie	Sickles	Univ. Illinois at Urbana Champaign (US)
Anping	Huang	Indiana University
Anthony	Frawley	Florda State University
Anthony	Hodges	Georgia State University
Anton	Lymanets	GSI - Helmholtzzentrum fur Schwerionenforschung GmbH (DE)
Anton	Motornenko	Frankfurt Institute for Advanced Studies
Antonio	Ortiz Velasquez	Universidad Nacional Autonoma (MX)
Anurag	Tiwari	Tata Institute of Fundamental Research
Ao	Luo	CCNU
Arabinda	Behera	Stony Brook Universty (US)
Aradhya	Shukla	School of Physics and Astronomy, Sun Yat-Sen University, Guangzhou, China
Arghya	Chatterjee	Central China Normal University
Arthur	Gal	Centre National de la Recherche Scientifique (FR)
Arvind	Khuntia	IFJ PAN
Ashish	Pandav	National Institute of Science Education and Research, Bhubaneswar
Attila	Pasztor	Eötvös University
Austin Alan	Baty	Rice University (US)
Axel	Drees	Stony Brook University
Ayaka	Suzuki	Nara Women's University
Azumi	Sakai	Sophia University
Azwinndini	Muronga	Nelson Mandela University
Baidyanath	Sahoo	IIT- Indian Institute of Technology (IN) Bombay
Baochi	Fu	Peking University
Barbara	Jacak	University of California Berkeley (US)
Barbara	Trzeciak	Czech Technical University in Prague
Bedangadas	Mohanty	National Institute of Science Education and Research (IN)
Ben-Wei	Zhang	Central China Normal University
Benjamin	Audurier	Universita e INFN, Cagliari (IT)
Benjamin	Doenigus	Johann-Wolfgang-Goethe Univ. (DE)
Benjamin	Schweid	Stony Brook University
Benjamin	Schüller	Goethe-Universität Frankfurt
Berndt	Mueller	Brookhaven National Laboratory
Biao	Zhang	Central China Normal University CCNU (CN)
Bing-feng	JIANG	Hubei Minzu University
Bjoern	Schenke	Brookhaven National Lab
Bojana	Ilic	Institute of Physics Belgrade
Boleslaw	Wyslouch	Massachusetts Inst. of Technology (US)
Bong-Hwi	Lim	Pusan National University (KR)
Borge	Nielsen	University of Copenhagen (DK)
Boris	Hippolyte	IPHC / USIAS (Strasbourg, FR)
Boris	Tomasik	Czech Technical University
Bowen	Xiao	Central China Normal University
Brett	Fadem	Muhlenberg College
Brian	Cole	Columbia University (US)
Caio	A. G. Prado	Central China Normal University (CN)
Caio	Brito	Universidade Federal Fluminense
Cameron	Dean	Los Alamos National Laboratory (US)
Carlos A.	Salgado	IGFAE - Universidade de Santiago de Compostela
Carsten	Greiner	University of Frankfurt
Catalin	Ristea	Institute of Space Science (RO)
Cesar	Bernardes	UNESP - Universidade Estadual Paulista (BR)
changfeng	li	Shandong University
ChanJui	Feng	National Cheng Kung University
Chanwook	Park	McGill University
Chao	Guo	Central China Normal University CCNU (CN)
Charles	Gale	McGill University
Chathuranga	Sirimanna	Wayne State University
