ID	First Name	Last Name	Affiliation
1	Gert	Aarts	Swansea University & ECT*
2	Shreyasi	Acharya	Laboratoire de Physique de Clermont
3	Joseph	Adams	Ohio State University
4	Haradhan	Adhikary	Jan Kochanowski University
5	Souvik Priyam	Adhya	IFJ- PAN
6	Kshitij	Agarwal	Eberhard Karls Universität Tübingen
7	Ishaan	Ahuja	Pavol Jozef Šafárik University
8	Joerg	Aichelin	Subatech
9	Iakov	Aizenberg	Weizmann Institute of Science
10	Anton	Alkin	CERN
11	David	Alvarez-Castillo	IFJ PAN
12	Victor E.	Ambrus	Goethe University
13	Carlota	Andres	Ecole Polytechnique
14	Anton	Andronic	University of Muenster
15	Arshiya	Anees Ahmed	Warsaw University of Technology
16	Federico	Antinori	INFN - Sezione di Padova
17	Harald	Appelshäuser	Goethe University
18	Roberta	Arnaldi	INFN Torino (Italy)
19	Ionut Cristian	Arsene	University of Oslo
20	Mesut	Arslandok	Yale University
21	Yoshini	Bailung	Indian Institute of Technology Indore
22	Marcel	Bajdel	GSI Helmholtzzentrum für Schwerionenforschung GmbH
23	Michał	Barej	AGH University of Science and Technology
24	Gergely Gabor	Barnafoldi	Wigner Research Centre for Physics
25	Esther	Bartsch	University Frankfurt
26	Steffen	Bass	Duke University
27	Daniel	Battistini	TUM
28	Sylwia	Bazak	Jan Kochanowski University
29	Ian	Bearden	Niels Bohr Institute, University of Copenhagen
30	Caitlin	Beattie	Yale University
31	Ailec De La Caridad	Bell Hechavarria	Institut für Kernphysik, Westfälische Wilhelms-Universität Münster
32	Rene	Bellwied	University of Houston
33	Gyula	Bencedi	Wigner Research Centre for Physics
34	Andrzej	Białas	Jagiellonian University
35	Luis	Bichon	Vanderbilt University
36	Jacek	Biernat	IFJ PAN
37	Ante	Bilandzic	Technical University of Munich
38	Gabor	Biro	Wigner Research Centre for Physics
39	Etienne	Blanco	IFJ-PAN
40	David	Blaschke	University of Wroclaw
41	Christoph	Blume	Goethe-University Frankfurt
42	Jeongsu	Bok	Inha University
43	Tomasz	Bołd	AGH-UST Kraków
44	Marek	Bombara	Pavol Jozef Šafárik University
45	Yehor	Bondar	Jan Kochanowski University
46	Nicolas	Borghini	University of Bielefeld
47	Hannah	Bossi	Yale University
48	Piotr	Bożek	AGH University of Science and Technology
49	Elena	Bratkovskaya	GSI, Darmstadt & Uni. Frankfurt
50	Peter	Braun-Munzinger	EMMI/GSI
51	Jasmine	Brewer	CERN
52	Wojciech	Broniowski	Inst. of Nucl. Phys. PAN & Jan Kochanowski U.
53	Wit	Busza	Massachusetts Institute of Technology
54	Matteo	Buzzegoli	Iowa State University
55	Sebastian	Bysiak	Institute of Nuclear Physics PAN
56	Adam	Bzdak	AGH Kraków
57	Federica	Capellino	Physikalisches Institut Heidelberg
58	Margaret	Carrington	Brandon University
59	Kayman Jhosef	Carvalho Gonçalves	Unicamp
60	Chandrodoy	Chattopadhyay	North Carolina State University
61	Emma	Chizzali	TUM
62	Peter	Christiansen	Lund University
63	Mario	Ciacco	Politecnico di Torino
64	Mateusz	Cierniak	University of Wrocław
65	Jakub	Cimerman	Czech Technical University
66	David	Coelho	Instytut Fizyki Jądrowej PAN
67	Maurice	Coquet	Irfu/CEA-Saclay
68	Justyna	Cybowska	Warsaw University of Technology
69	Asaad	Daher	IFJ-PAN
70	Andrea	Dainese	INFN Padova
71	Florian	Damas	Centre National de la Recherche Scientifique
72	Meike	Danisch	Physikalisches Institut Heidelberg
73	Arpan	Das	Institute of Nuclear Physics Polish Academy of Sciences
74	Ashutosh	Dash	Goethe University
75	Archita Rani	Dash	University of Muenster, Germany
76	Nikolaos	Davis	Institute of Nuclear Physics PAN, Krakow, Poland
77	Chiara	De Martin	University of Trieste and INFN, Trieste
78	Raffaele	Del Grande	Technische Universität München
79	Luigi	Dello Stritto	Università di Salerno
80	Stéphane	Delorme	Subatech
81	Katharina	Demmich	Westfälische Wilhelms-Universität Münster
82	Dominik	Derendarz	Institute of Nuclear Physics Polish Academy of Sciences
83	Veronica	Dexheimer	Kent State University
