name,affiliation,country,year,indico_id
1 Gert,Aarts,,2022,895086
2 Shreyasi,Acharya,,2022,895086
3 Joseph,Adams,,2022,895086
4 Haradhan,Adhikary,,2022,895086
5 Souvik Priyam,Adhya,,2022,895086
6 Kshitij,Agarwal,,2022,895086
7 Ishaan,Ahuja,,2022,895086
8 Joerg,Aichelin,,2022,895086
9 Iakov,Aizenberg,,2022,895086
10 Anton,Alkin,,2022,895086
11 David,Alvarez-Castillo,,2022,895086
12 Victor E.,Ambrus,,2022,895086
13 Carlota,Andres,,2022,895086
14 Anton,Andronic,,2022,895086
15 Arshiya,Anees Ahmed,,2022,895086
16 Federico,Antinori,,2022,895086
17 Harald,Appelshäuser,,2022,895086
18 Roberta,Arnaldi,,2022,895086
19 Ionut Cristian,Arsene,,2022,895086
20 Mesut,Arslandok,,2022,895086
21 Yoshini,Bailung,,2022,895086
22 Marcel,Bajdel,,2022,895086
23 Michał,Barej,,2022,895086
24 Gergely Gabor,Barnafoldi,,2022,895086
25 Esther,Bartsch,,2022,895086
26 Steffen,Bass,,2022,895086
27 Daniel,Battistini,,2022,895086
28 Sylwia,Bazak,,2022,895086
29 Ian,Bearden,,2022,895086
30 Caitlin,Beattie,,2022,895086
31 Ailec De La Caridad,Bell Hechavarria,,2022,895086
32 Rene,Bellwied,,2022,895086
33 Gyula,Bencedi,,2022,895086
34 Andrzej,Białas,,2022,895086
35 Luis,Bichon,,2022,895086
36 Jacek,Biernat,,2022,895086
37 Ante,Bilandzic,,2022,895086
38 Gabor,Biro,,2022,895086
39 Etienne,Blanco,,2022,895086
40 David,Blaschke,,2022,895086
41 Christoph,Blume,,2022,895086
42 Jeongsu,Bok,,2022,895086
43 Tomasz,Bołd,,2022,895086
44 Marek,Bombara,,2022,895086
45 Yehor,Bondar,,2022,895086
46 Nicolas,Borghini,,2022,895086
47 Hannah,Bossi,,2022,895086
48 Piotr,Bożek,,2022,895086
49 Elena,Bratkovskaya,,2022,895086
50 Peter,Braun-Munzinger,,2022,895086
51 Jasmine,Brewer,,2022,895086
52 Wojciech,Broniowski,,2022,895086
53 Wit,Busza,,2022,895086
54 Matteo,Buzzegoli,,2022,895086
55 Sebastian,Bysiak,,2022,895086
56 Adam,Bzdak,,2022,895086
57 Federica,Capellino,,2022,895086
58 Margaret,Carrington,,2022,895086
59 Kayman Jhosef,Carvalho Gonçalves,,2022,895086
60 Chandrodoy,Chattopadhyay,,2022,895086
61 Emma,Chizzali,,2022,895086
62 Peter,Christiansen,,2022,895086
63 Mario,Ciacco,,2022,895086
64 Mateusz,Cierniak,,2022,895086
65 Jakub,Cimerman,,2022,895086
66 David,Coelho,,2022,895086
67 Maurice,Coquet,,2022,895086
68 Justyna,Cybowska,,2022,895086
69 Asaad,Daher,,2022,895086
70 Andrea,Dainese,,2022,895086
71 Florian,Damas,,2022,895086
72 Meike,Danisch,,2022,895086
73 Arpan,Das,,2022,895086
74 Ashutosh,Dash,,2022,895086
75 Archita Rani,Dash,,2022,895086
76 Nikolaos,Davis,,2022,895086
77 Chiara,De Martin,,2022,895086
78 Raffaele,Del Grande,,2022,895086
79 Luigi,Dello Stritto,,2022,895086
80 Stéphane,Delorme,,2022,895086
81 Katharina,Demmich,,2022,895086
82 Dominik,Derendarz,,2022,895086
83 Veronica,Dexheimer,,2022,895086
84 Preeti,Dhankher,,2022,895086
85 Janik,Ditzel,,2022,895086
86 Xiaojian,Du,,2022,895086
87 Andrea,Dubla,,2022,895086
88 Edwin,Duckworth,,2022,895086
89 Mateusz,Dyndal,,2022,895086
90 Natalia,Dzalaiova,,2022,895086
91 Tabea,Eder,,2022,895086
92 Raymond,Ehlers,,2022,895086
93 Florian,Eisenhut,,2022,895086
94 Francesca,Ercolessi,,2022,895086
95 Laura,Fabbietti,,2022,895086
96 Mattia,Faggin,,2022,895086
97 Julien,Faivre,,2022,895086
98 Alexandre,Falcao,,2022,895086
99 Wojciech,Florkowski,,2022,895086
100 Jan,Fotakis,,2022,895086
101 Eszter,Frajna,,2022,895086
102 Tetyana,Galatyuk,,2022,895086
103 Piotr,Gasik,,2022,895086
104 Frank,Geurts,,2022,895086
105 Jacopo,Ghiglieri,,2022,895086
106 Marco,Giacalone,,2022,895086
107 Francesco,Giacosa,,2022,895086
108 Benjamin,Gilbert,,2022,895086
109 Alexander Kevin,Gilbert,,2022,895086
110 Susanne,Glaessel,,2022,895086
111 Yeonju,Go,,2022,895086
112 Krzysztof,Golec-Biernat,,2022,895086
113 Marcos,Gonzalez Martinez,,2022,895086
114 Pol,Gossiaux,,2022,895086
115 Iwona,Grabowska-Bold,,2022,895086
