year,indico_id,name,affiliation,country
2017,433345,Aaron Angerami,Columbia University (US),US
2017,433345,Aaron Capon,"Stefan Meyer Institute for Subatomic Physics (SMI), Austrian Academy of Sciences (AT)",AT
2017,433345,Abhijit Majumder,Wayne State University,
2017,433345,Abinash Pun,Ohio University,
2017,433345,Adam Bzdak,AGH University of Science and Technology,
2017,433345,Adam Trzupek,Institute of Nuclear Physics Polish Academy of Sciences (PL),PL
2017,433345,Adam Tomasz Matyja,The University of Tennessee,
2017,433345,Adith Ramamurti,Stony Brook University,
2017,433345,Aihong Tang,Brookhaven National Laboratory,
2017,433345,Ajay Majethiya,"V S PATEL COLLEGE OF ARTS AND SCIENCE, COLLEGE ROAD, BILIMORA, DIST NAVSARI, GUJARAT 396321, INDIA",
2017,433345,Akihiko Monnai,"Institut de Physique Théorique, CNRS/CEA",
2017,433345,akio ogawa,BNL,
2017,433345,Akshat Puri,Univ. Illinois at Urbana-Champaign (US),US
2017,433345,Alba Soto Ontoso,Frankfurt Institute for Advanced Studies,
2017,433345,Aleksas Mazeliauskas,Institut für Theoretische Physik,
2017,433345,Alena Harlenderová,Czech Technical University in Prague,
2017,433345,Alessandro De Falco,"Universita e INFN, Cagliari (IT)",IT
2017,433345,Alexander Jentsch,UT Austin,
2017,433345,Alexander Milov,Weizmann Institute of Science (IL),IL
2017,433345,Alexander Rothkopf,"ITP, Heidelberg University",
2017,433345,Alexander Schmah,Lawrence Berkeley National Lab,
2017,433345,Alexander Sorin,Joint Institute for Nuclear Research (RU),RU
2017,433345,Alexander Philipp Kalweit,CERN,
2017,433345,Alexandre Alarcon Do Passo Suaide,Universidade de Sao Paulo (BR),BR
2017,433345,Alexandre Lebedev,Iowa State University,
2017,433345,Alexandre Shabetai,SUBATECH NANTES - Centre National de la Recherche Scientifique (FR),FR
2017,433345,Alexandru Florin Dobrin,CERN,
2017,433345,Alice Ohlson,Ruprecht-Karls-Universitaet Heidelberg (DE),DE
2017,433345,Alina Czajka,McGill University,
2017,433345,Amaresh Jaiswal,National Institute of Science Education and Research,
2017,433345,Amit Kumar,Wayne State University,
2017,433345,Ana Marin,GSI - Helmholtzzentrum fur Schwerionenforschung GmbH (DE),DE
2017,433345,Anar Rustamov,University of Heidelberg,
2017,433345,Anastasia Maria Barbano,Universita e INFN Torino (IT),IT
2017,433345,Andre Mischke,Utrecht University (NL),NL
2017,433345,Andrea Dainese,INFN - Padova,
2017,433345,Andrea Dubla,GSI - Helmholtzzentrum für Schwerionenforschung,
2017,433345,Andrea Festanti,"Universita e INFN, Padova (IT)",IT
2017,433345,Andrea Rossi,"Universita e INFN, Padova (IT)",IT
2017,433345,Andreas Morsch,CERN,
2017,433345,Andrew Kubera,Ohio State University (US),US
2017,433345,Andrew John Castro,University of Tennessee (US),US
2017,433345,Andrey Kotov,ITEP,
2017,433345,Andrey Sadofyev,MIT,
2017,433345,Andriniaina Rasoanaivo,University of Cape Town,
2017,433345,Angela Badala,INFN - Sezione di Catania (Italy),
2017,433345,Anjali Attri,Panjab University,
2017,433345,Anju Bhasin,University of Jammu (IN),IN
2017,433345,Anne Marie Sickles,Univ. Illinois at Urbana-Champaign (US),US
2017,433345,Annika Passfeld,Westfaelische Wilhelms-Universitaet Muenster (DE),DE
2017,433345,anping huang,Tsinghua Unversity,
2017,433345,Anthony Frawley,Florda State University,
2017,433345,Anthony Robert Timmins,University of Houston (US),US
2017,433345,Antoine Lardeux,University of Oslo (NO),NO
2017,433345,Antoni Aduszkiewicz,CERN,
2017,433345,Antonio Uras,Universite Claude Bernard-Lyon I (FR),FR
2017,433345,Antonio Carlos Oliveira Da Silva,Universidade de Sao Paulo (BR),BR
2017,433345,Arabinda Behera,State University of New York (US),US
2017,433345,Arkadiy Taranenko,National Research Nuclear University MEPhI (RU),RU
2017,433345,ARPAN DAS,"Institute of Physics, Bhubaneswar",
2017,433345,Astrid Vauthier,Centre National de la Recherche Scientifique (FR),FR
2017,433345,Attila Bagoly,Eötvös Loránd University,
2017,433345,Attila Pasztor,Wuppertal University,
2017,433345,Austin Alan Baty,Massachusetts Inst. of Technology (US),US
2017,433345,Axel Drees,Stony Brook University,
2017,433345,Ayman Hamad,Kent state university,
2017,433345,Ayon Mukherjee,Frankfurt Institute for Advanced Studies,
2017,433345,Azumi Sakai,Sophia University,
2017,433345,Babak Salehi Kasmaei,Kent State University,
2017,433345,Balthazar Peroutka,Iowa State University,
2017,433345,Barbara Jacak,Lawrence Berkeley National Lab. (US),US
2017,433345,Barbara Trzeciak,Utrecht University,
2017,433345,Barbara Krystyna Wosiek,Institute of Nuclear Physics Polish Academy of Sciences (PL),PL
2017,433345,Benjamin Audurier,Centre National de la Recherche Scientifique (FR),FR
2017,433345,Beomkyu Kim,Jyvaskyla University(Fi),
2017,433345,Berndt Mueller,Brookhaven National Laboratory,
2017,433345,Bingchu Huang,University of Illinois at Chicago (US),US
2017,433345,Bjoern Schenke,Brookhaven National Laboratory,
2017,433345,Boleslaw Wyslouch,Massachusetts Inst. of Technology (US),US
2017,433345,Borge Nielsen,University of Copenhagen (DK),DK
2017,433345,Boris Teyssier,Universite Claude Bernard-Lyon I (FR),FR
2017,433345,Boris Tomasik,Univerzita Mateja Bela (SK),SK
2017,433345,Bowen Xiao,Central China Normal University,
2017,433345,Brandon Krouppa,Kent State University,
2017,433345,Brant Johnson,American Physical Society,
2017,433345,Brian Cole,Columbia University (US),US
2017,433345,Caio Alves Garcia Prado,Universidade de Sao Paulo (BR),BR
2017,433345,Carlos Perez Lara,Stony Brook University,
2017,433345,Carlos A. Salgado,Universidade de Santiago de Compostela (ES),ES
2017,433345,Carlota Andres,Universidade de Santiago de Compostela,
2017,433345,Carsten Klein,Johann-Wolfgang-Goethe Univ. (DE),DE
2017,433345,Cesar Luiz da Silva,Los Alamos National Lab,
2017,433345,Chad Flores,University of California Davis (US),US
2017,433345,Chanwook Park,McGill University,
2017,433345,Chaolun Wu,University of Colorado Boulder,
2017,433345,Charles Ferraioli,University of Maryland (US),US
2017,433345,Charles Gale,McGill University,
2017,433345,Charles Hughes,University of Tennessee (US),US
2017,433345,Charles Felix Maguire,Vanderbilt University (US),US
2017,433345,Chathuranga Sirimanna,Wayne State University,
2017,433345,Cheng-Chieh Peng,Purdue University (US),US
2017,433345,Chi Yang,Shandong University,
2017,433345,Chiho Nonaka,Nagoya University,
2017,433345,Chong Kim,UC Riverside,
2017,433345,Christian Bourjau,University of Copenhagen (DK),DK
2017,433345,Christian Klein-Boesing,Westfaelische Wilhelms-Universitaet Muenster (DE),DE
2017,433345,Christian Holm Christensen,University of Copenhagen (DK),DK
2017,433345,Christina Deveaux,Justus Liebig Universitaet Giessen,
2017,433345,Christina Markert,University of Texas (US),US
2017,433345,Christine Aidala,University of Michigan,
2017,433345,Christine Nattrass,University of Tennessee (US),US
2017,433345,Christoph Blume,Johann-Wolfgang-Goethe Univ. (DE),DE
2017,433345,Christoph Herold,"Suranaree University of Technology, School of Physics",
2017,433345,Christopher Mc Ginn,Massachusetts Inst. of Technology (US),US
2017,433345,Christopher Plumberg,University of Minnesota,
2017,433345,Christopher Wesselborg,American Physical Society,
2017,433345,Christopher Zin,Wayne State University,
2017,433345,Chun Shen,Brookhaven National Laboratory,
2017,433345,Chunjian Zhang,Shanghai Institute of Applied Physics,
2017,433345,Claude Andre Pruneau,Wayne State University (US),US
2017,433345,Claudia Behnke,Social Media,
2017,433345,Claudia Ratti,University of Houston,
2017,433345,Constantinos Loizides,Lawrence Berkeley National Lab. (US),US
2017,433345,Cristina Terrevoli,"Universita e INFN, Padova (IT)",IT
2017,433345,Cristina Tuve,"Universita $ INFN, Catania (IT)",IT
2017,433345,Daiki Sekihata,Hiroshima University (JP),JP
2017,433345,Daniel Brown,Lehigh University,
2017,433345,Daniel Cebra,"University of California, Davis",
2017,433345,Daniel Muhlheim,Westfaelische Wilhelms-Universitaet Muenster (DE),DE
2017,433345,Daniel Nemes,Yale,
2017,433345,Daniel Pablos,McGill,
2017,433345,Daniel Tapia Takaki,The University of Kansas (US),US
2017,433345,Darren McGlinchey,University of Colorado,
2017,433345,David d'Enterria,CERN,
2017,433345,David Hofman,University of Illinois at Chicago (US),US
2017,433345,David Horák,Czech Technical University (CZ),CZ
2017,433345,David Morrison,BNL,
2017,433345,David Silvermyr,Lund University (SE),SE
2017,433345,David Stewart,Yale University,
2017,433345,David Tlusty,Rice University,
2017,433345,Davide Caffarri,NIKHEF,
2017,433345,Debojit Sarkar,Department of Atomic Energy (IN),IN
2017,433345,Declan Keane,"Kent State Univ, Ohio, USA",
2017,433345,Deepa Thomas,University of Texas (US),US
2017,433345,Deepali Sharma,Stony Brook University,
2017,433345,Denes Molnar,Purdue University,
2017,433345,Denis Jouan,Institut de Physique Nucleaire Orsay,
2017,433345,Denise Aparecida Moreira De Godoy,Westfälische Wilhelms-Universität Münster,
2017,433345,Dennis Bazow,The Ohio State University,
2017,433345,Dennis Perepelitsa,University of Colorado Boulder,
2017,433345,Derek Anderson,Texas A&M University,
2017,433345,Derek Teaney,Stony Brook University,
2017,433345,Dhanush Anil Hangal,University of Illinois at Chicago (US),US
2017,433345,Di-Lun Yang,RIKEN,
2017,433345,Diego Stocco,Centre National de la Recherche Scientifique (FR),FR
2017,433345,Dieter Roehrich,University of Bergen (NO),NO
2017,433345,Diogenes Domenicis Gimenez,Universidade de Sao Paulo (BR),BR
2017,433345,Dmitri Kharzeev,Stony Brook University and BNL,
2017,433345,Dong Ho Moon,Chonnam National University (KR),KR
2017,433345,Dong Jo Kim,Jyväskylä University (FI),FI
2017,433345,Dubinin Aleksandr,University of Wroclaw,
2017,433345,Dániel Kincses,Eötvös Loránd University,
2017,433345,Edgar Perez Lezama,Johann-Wolfgang-Goethe Univ. (DE),DE
2017,433345,Edmond Iancu,Institut de Physique Théorique de Saclay (IPhT),
2017,433345,Edmundo Garcia-Solis,National Science Foundation,
2017,433345,Eduard Seifert,Justus-Liebig-University Giessen,
2017,433345,Edward O'Brien,Brookhaven National Lab,
2017,433345,Eero Aleksi Kurkela,CERN and University of Stavanger,
2017,433345,Elena Bruna,INFN Torino (IT),IT
2017,433345,Elena Petreska,Nikhef/VU Amsterdam,
2017,433345,Eliane Epple,Yale University,
2017,433345,Emilie Maurice,Universite de Paris-Sud 11 (FR),FR
2017,433345,Enrico Scomparin,Universita e INFN Torino (IT),IT
2017,433345,Eric Mannel,Brookhaven National Labs,
2017,433345,Erin Gauger,University of Texas (US),US
2017,433345,Ernst Hellbar,Johann-Wolfgang-Goethe Univ. (DE),DE
2017,433345,Ester Anna Rita Casula,"Universita e INFN, Cagliari (IT)",IT
2017,433345,Esther Bartsch,Johann-Wolfgang-Goethe Univ. (DE),DE
2017,433345,Evgeny Kryshen,Petersburg Nuclear Physics Institut (RU),RU
2017,433345,Fabian Pliquett,Johann-Wolfgang-Goethe Univ. (DE),DE
2017,433345,Fabian Rennecke,"Institute for Theoretical Physics, Heidelberg University",
2017,433345,Fabrizio Grosa,Politecnico e INFN Torino (IT),IT
2017,433345,Federico Antinori,"Universita e INFN, Padova (IT) and CERN, Geneva (CH)",CH
2017,433345,Feng Liu,Central China Normal University,
2017,433345,Fernando Gardim,Federal University of Alfenas,
2017,433345,Filip Krizek,Acad. of Sciences of the Czech Rep. (CZ),CZ
2017,433345,Flemming Videbaek,BNL,
2017,433345,Florian Herrmann,Westfaelische Wilhelms-Universitaet Muenster (DE),DE
2017,433345,Francesca Bellini,"Universita e INFN, Bologna (IT)",IT
2017,433345,Frank Geurts,Rice University (US),US
2017,433345,Frederique Grassi,Universidade de São Paulo,
2017,433345,Freja Thoresen,University of Copenhagen (DK),DK
2017,433345,Frithjof Karsch,Brookhaven National Laboratory and Bielefeld University,
2017,433345,Fuqiang Wang,Purdue University (US),US
2017,433345,Gabor David,Stony Brook University,
2017,433345,Gabriel Denicol,Universidade Federal Fluminense,
2017,433345,Gabriele Coci,INFN - National Institute for Nuclear Physics,
2017,433345,Gaku Mitsuka,RIKEN,
2017,433345,Gang Wang,UCLA,
2017,433345,Gennady Kozlov,Joint Institute for Nuclear Research (RU),RU
2017,433345,George Fai,U.S. Department of Energy,
2017,433345,George Moschelli,Lawrence Technological University,
2017,433345,George Stephans,Massachusetts Inst. of Technology (US),US
2017,433345,Gergely Fejos,"Research Center for Nuclear Physics, Osaka University",
2017,433345,Gergely Gabor Barnafoldi,Wigner RCP Hungarian Academy of Sciences (HU),HU
2017,433345,Giacomo Contin,Lawrence Berkeley National Lab. (US),US
2017,433345,Gian Michele Innocenti,Massachusetts Inst. of Technology (US),US
2017,433345,Gianluca Usai,"University of Cagliari e INFN, Cagliari (IT)",IT
2017,433345,Gines Martinez-Garcia,Subatech UMR 6457,
2017,433345,Gojko Vujanovic,The Ohio State University,
2017,433345,Gokce Basar,"University of Maryland, College Park",
2017,433345,Gordon Baym,University of Illinois,
2017,433345,Grazyna Odyniec,Lawrence Berkeley National Laboratory,
2017,433345,Greeshma Koyithatta Meethaleveedu,IIT- Indian Institute of Technology (IN),IN
2017,433345,Guang-You Qin,Central China Normal University,
2017,433345,Guannan Xie,LBNL/USTC,
2017,433345,Guilherme Teixeira De Almeida Milhano,LIP-Lisbon & CERN TH,
2017,433345,Gunther Roland,Massachusetts Inst. of Technology (US),US
2017,433345,Gábor Papp,Eötvös University / Institute for Physics,
2017,433345,Haavard Helstrup,Western Norway University of Applied Sciences (NO),NO
2017,433345,Haiwang Yu,New Mexico State University,
2017,433345,Hallie Causey Trauger,University of Illinois at Chicago (US),US
2017,433345,Hamda Cherif,Johann-Wolfgang-Goethe Univ. (DE),DE
2017,433345,Hanlin Li,Wuhan University of Science and Technology & Purdue University,
2017,433345,Hannah Petersen,Frankfurt Institute of Advanced Studies,
2017,433345,Hannu Paukkunen,University of Jyväskylä,
2017,433345,Hao Qiu,Purdue University (US),US
2017,433345,Haojie Xu,Peking University,
2017,433345,Harald Appelshaeuser,Johann-Wolfgang-Goethe Univ. (DE),DE
2017,433345,Harri Niemi,"J. W. Goethe Universität, Frankfurt am Main",
2017,433345,Heidi Schuldes,Goethe-University Frankfurt,
2017,433345,Heikki Mäntysaari,Brookhaven National Laboratory,
2017,433345,Helen Caines,Yale University (US),US
2017,433345,Hendrik Poppenborg,Westfaelische Wilhelms-Universitaet Muenster (DE),DE
2017,433345,Henner Buesching,University of Frankfurt,
2017,433345,hidekazu tsukiji,Yakawa Institute for Theoretical Physics,
2017,433345,Hideki Hamagaki,Nagasaki Inst. of Applied Science (JP),JP
2017,433345,Hidetoshi TAYA,The University of Tokyo,
2017,433345,Hikari Murakami,University of Tokyo (JP),JP
2017,433345,Hiroshi Nakagomi,Tsukuba University,
2017,433345,Hiroshi Ohno,"Center for Computational Sciences, University of Tsukuba",
2017,433345,Hirotsugu Fujii,University of Tokyo,
2017,433345,Ho-Ung Yee,University of Illinois at Chicago / RBRC,
2017,433345,Hongxi Xing,Northwestern University / Argonne National Laboratory,
