Session,Type,Title,Speaker,Institute,Country,Abstract,Raw_Speaker_Data
Plenary,plenary,Initial state in relativistic nuclear collisions and color glass condensate,"Gelis, Francois",Institut de Physique Theorique,Unknown,,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Francois', 'last_name': 'Gelis', 'fullName': 'Gelis, Francois', 'id': '1728172', 'affiliation': '', 'emailHash': 'ef947ba6cebd51387859643a08c4154f', 'db_id': 1728172, 'person_id': 1867448}"
Plenary,plenary,Review of experimental results in p(d)-nucleus collisions at RHIC and the LHC,"Sickles, Anne",Brookhaven,USA,,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Anne', 'last_name': 'Sickles', 'fullName': 'Sickles, Anne', 'id': '1728173', 'affiliation': 'Brookhaven', 'emailHash': 'd9759747cc7d389c5e8e2df1699d4f9c', 'db_id': 1728173, 'person_id': 1867449}"
Plenary,plenary,Recent results from lattice QCD and the phase diagram of strongly interacting matter,"Ding, Heng-Tong",Brookhaven National Lab,USA,,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Heng-Tong', 'last_name': 'Ding', 'fullName': 'Ding, Heng-Tong', 'id': '1728174', 'affiliation': 'Brookhaven National Lab', 'emailHash': '1a49734af9f7915bae372dfed1bb1c04', 'db_id': 1728174, 'person_id': 1867450}"
Plenary,plenary,HADES Overview,"Galatyuk, Tetyana",Goethe University / EMMI,Unknown,,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Tetyana', 'last_name': 'Galatyuk', 'fullName': 'Galatyuk, Tetyana', 'id': '1728175', 'affiliation': 'Goethe University / EMMI', 'emailHash': '365df82bcfb28e70e8d7d50395b53b8f', 'db_id': 1728175, 'person_id': 1867451}"
Plenary,plenary,ATLAS Overview,"Cole, Brian",Columbia University (US),USA,,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Brian', 'last_name': 'Cole', 'fullName': 'Cole, Brian', 'id': '1728176', 'affiliation': 'Columbia University (US)', 'emailHash': '5ac89c43538af2f10d3ef24f9575e165', 'db_id': 1728176, 'person_id': 1867452}"
Plenary,plenary,PHENIX Overview,"Xiaochun, He",Georgia State University,USA,,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'He', 'last_name': 'Xiaochun', 'fullName': 'Xiaochun, He', 'id': '1728177', 'affiliation': 'Georgia State University', 'emailHash': '37098ede6d19ca6fb5c9842b925c1cf8', 'db_id': 1728177, 'person_id': 1867453}"
Plenary,plenary,ALICE Overview,"Grosse-Oetringhaus, Jan Fiete",CERN,Switzerland,,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Jan Fiete', 'last_name': 'Grosse-Oetringhaus', 'fullName': 'Grosse-Oetringhaus, Jan Fiete', 'id': '1728178', 'affiliation': 'CERN', 'emailHash': '900666055e79df1d031db015aaa505bd', 'db_id': 1728178, 'person_id': 1867454}"
Plenary,plenary,CMS Overview,"Granier De Cassagnac, Raphael",Ecole Polytechnique (FR),Unknown,,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Raphael', 'last_name': 'Granier De Cassagnac', 'fullName': 'Granier De Cassagnac, Raphael', 'id': '1728179', 'affiliation': 'Ecole Polytechnique (FR)', 'emailHash': '5f06e04c78706936f585e6d74b64bb78', 'db_id': 1728179, 'person_id': 1867455}"
Plenary,plenary,STAR Overview,"Xu, Nu",LBNL,USA,,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Nu', 'last_name': 'Xu', 'fullName': 'Xu, Nu', 'id': '1728180', 'affiliation': 'LBNL', 'emailHash': '1d41f626ba5bb50a45a1b049280f2ab3', 'db_id': 1728180, 'person_id': 1867456}"
Plenary,plenary,Physics prospects at RHIC and plans for an eA collider,"Ullrich, Thomas",Yale University (US),USA,,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Thomas', 'last_name': 'Ullrich', 'fullName': 'Ullrich, Thomas', 'id': '1728428', 'affiliation': 'Yale University (US)', 'emailHash': '5d9ff62fb505abd0b3bda96af578901f', 'db_id': 1728428, 'person_id': 1867684}"
Plenary,plenary,Neutron star equation of state through current and future observations,"Watts, Anna",University of Amsterdam,Unknown,,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Anna', 'last_name': 'Watts', 'fullName': 'Watts, Anna', 'id': '1728429', 'affiliation': '', 'emailHash': 'ff7e6544667453c1c77771b04a30bda7', 'db_id': 1728429, 'person_id': 1867685}"
