Session,Type,Title,Speaker,Institute,Country,Abstract,Raw_Speaker_Data
"Special session on ""QGP in small systems?""",parallel,Experimental overview on small colliding systems  at LHC,"Loizides, Constantinos",Lawrence Berkeley National Lab. (US),USA,,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Constantinos', 'last_name': 'Loizides', 'fullName': 'Loizides, Constantinos', 'id': '932800', 'affiliation': 'Lawrence Berkeley National Lab. (US)', 'emailHash': '5ebd6c525326aaf0fe6488cfaff0371e', 'db_id': 932800, 'person_id': 998582}"
"Special session on ""QGP in small systems?""",parallel,Hydrodynamics,"Bozek, Piotr",AGH University of Science and Technology,Poland,,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Piotr', 'last_name': 'Bozek', 'fullName': 'Bozek, Piotr', 'id': '932801', 'affiliation': 'AGH University of Science and Technology', 'emailHash': '28a7ce84819af788c07a345f60a73401', 'db_id': 932801, 'person_id': 998583}"
"Special session on ""QGP in small systems?""",parallel,Experimental overview on small colliding systems at RHIC,"Stankus, Paul",Oak Ridge National Laboratory -  (US),United States,,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Paul', 'last_name': 'Stankus', 'fullName': 'Stankus, Paul', 'id': '932803', 'affiliation': 'Oak Ridge National Laboratory -  (US)', 'emailHash': '5888b0da4644bb8cb77d24a7e1eb2fa4', 'db_id': 932803, 'person_id': 998585}"
"Special session on ""QGP in small systems?""",parallel,round table discussion,Unknown,Unknown,Unknown,,
"Special session on ""QGP in small systems?""",parallel,Pre-equillibrium dynamics,"Schlichting, Soeren",Brookhaven National Lab,USA,,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Soeren', 'last_name': 'Schlichting', 'fullName': 'Schlichting, Soeren', 'id': '932805', 'affiliation': 'Brookhaven National Lab', 'emailHash': '2df846371aa4de69b3cac2067b108d08', 'db_id': 932805, 'person_id': 998587}"
"Special session on ""QGP in small systems?""",parallel,Summary of other reasonable theoretical ideas,"Romatschke, Paul","University of Colorado, Boulder",USA,,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Paul', 'last_name': 'Romatschke', 'fullName': 'Romatschke, Paul', 'id': '932806', 'affiliation': 'University of Colorado, Boulder', 'emailHash': 'a10f03602691d4757f5d2abb08d8689f', 'db_id': 932806, 'person_id': 998588}"
Collective Dynamics IV,parallel,Elliptic Anisotropy $v_2$ May Be Dominated by Particle Escape instead of Hydrodynamic Flow,"Lin, Zi-Wei",ECU,Unknown,"It is commonly believed that azimuthal anisotropies in relativistic heavy ion collisions are generated by hydrodynamic evolution of the strongly interacting quark-gluon plasma. Recently, apparent anisotropy signals have been observed in small systems of proton- and deuteron-nucleus collisions, and the signals can again be described by hydrodynamics. A natural question is why hydrodynamics still seems to be applicable to such small systems. Since A Multi-Phase Transport (AMPT), like hydrodynamics, has been quite successful in describing a large amount of experimental data, we investigate the generation of anisotropies in AMPT by analyzing the complete parton collision history. We also use another transport model, the MPC/Cascade, to check the model dependence of our results.

To our surprise, we find [1] that the majority of $v_2$ comes from the anisotropic escape of partons, not from the parton collective flow, for semi-central Au+Au collisions at 200A GeV. Hydrodynamic-type collective flow will eventually dominate over the escape mechanism at unrealistically large parton cross sections. However, even at the parton cross section of 40 mb, the escape mechanism still contributes to about one-third of the final parton $v_2$. The picture is qualitatively the same from both transport models, and for the smaller d+Au system the escape mechanism is more dominant as expected. Our results thus show that elliptic anisotropy $v_2$ is dominated by particle escape instead of hydrodynamic flow in transport models. If confirmed, our finding could change the paradigm of anisotropic flow. Our results also suggest the need for hydrodynamics to include the escape mechanism, without which the extracted viscosity to entropy density ($\eta/s$) ratio would be severely underestimated.

[1] L. He, T. Edmonds, Z.W. Lin, F. Liu, D. Molnar, F.Q. Wang. ArXiv:1502.05572 [nucl-th].","{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Zi-Wei', 'last_name': 'Lin', 'fullName': 'Lin, Zi-Wei', 'id': '932912', 'affiliation': 'ECU', 'emailHash': 'a4fa6b8bae43555f02b014c1e6eead79', 'db_id': 932912, 'person_id': 998682}"
Quarkonia IV,parallel,$J/\psi$ and $\Upsilon$ measurements in the di-muon channel in Au+Au collisions at $\sqrt{s_{NN}}$ = 200 GeV  with the STAR experiment,"Ma, Rongrong",Brookhaven National Laboratory,USA,"Measurements of quarkonium production in heavy-ion collisions have played an essential role in understanding the properties of the Quark Gluon Plasma (QGP) created in such collisions. In particular, $J/\psi$ suppression in the medium has been proposed as a direct probe of the QGP formation, where quarks and gluons are the relevant degrees of freedom. However,  regeneration of $J/\psi$ from uncorrelated $c$ and $\bar{c}$ quarks in the medium adds extra complications to the interpretation of $J/\psi$ suppression. The measurement of the second order harmonic coefficient ($v_{2}$) for $J/\psi$ would help disentangle different production mechanisms since the regenerated $J/\psi$ is expected to inherit the flow of the charm quarks while the primordial $J/\psi$  should have almost zero $v_{2}$. On the other hand, the contribution from regeneration to $\Upsilon$, $b\bar{b}$ bound states, is much smaller at RHIC energies, making them ideal probes to study the color-screening feature. In early 2014, the Muon Telescope Detector (MTD), designed to trigger on and identify muons based on precise timing information, was fully installed in STAR at mid-rapidity. Due to the low trigger threshold on muon $p_{\rm{T}}$, the MTD trigger has a relatively high efficiency for low $p_{\rm{T}}$ $J/\psi$, where the regeneration contribution is expected to be the largest. Moreover, the MTD opens the door for separating different $\Upsilon$ states for the first time at STAR as the Bremsstrahlung radiation for muons is much smaller compared to electrons. In this talk, we present the measurements of $J/\psi$ suppression, quantified as the nuclear modification factor $R_{\rm{AA}}$,  and $v_{2}$ in Au+Au collisions at $\sqrt{s_{NN}}$ = 200 GeV down to zero $p_{\rm{T}}$. These measurements bring extra insights into the $J/\psi$ production mechanism in heavy-ion collisions. Furthermore, the measurement of different $\Upsilon$ states is explored within the precision of the available statistics.","{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Rongrong', 'last_name': 'Ma', 'fullName': 'Ma, Rongrong', 'id': '932744', 'affiliation': 'Brookhaven National Laboratory', 'emailHash': '4e8b7b778088536e47427a629a542265', 'db_id': 932744, 'person_id': 998533}"
Jets and High pT Hadrons IV,parallel,Jet Formation and Interference in Quark Gluon Plasma,"Casalderrey Solana, Jorge",University of Barcelona (ES),Unknown,"We study the double inclusive emission of gluons off a hard parton
propagating in thin QCD plasma. Within the N=1 opacity approximation, we determine the induced emission pattern of two gluons which are soft compared to
the parton energy but hard compared to the medium scale. We assume a wide separation between the energies of those two gluons, but we allow arbitrary ordering of their emission angles. We select the transverse
momenta of the induced gluons such that only the softest one may be medium induced. We study the ordering properties of a hard jet forming in the medium by analyzing the interference pattern of the softest gluon with respect to the hard quark-gluon core. We concentrate in the regime in which the formation times of both gluons are comparable and discuss the interplay between interferences and the formation time of the quark-gluon subsystem.","{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Jorge', 'last_name': 'Casalderrey Solana', 'fullName': 'Casalderrey Solana, Jorge', 'id': '933734', 'affiliation': 'University of Barcelona (ES)', 'emailHash': '4e4e485192147e6dd3250bf6d8faf700', 'db_id': 933734, 'person_id': 998920}"
Initial State Physics and Approach to Equilibrium II,parallel,PHENIX results on flow observables in asymmetric Cu$+$Au collisions,"Schaefer, Brennan",Vanderbilt University,USA,"Asymmetric collisions of large nuclei at high energy offer a unique
window into many aspects of excited medium formation and evolution.
Unlike symmetric collisions, an asymmetric system can have non-zero
odd-order moments in its average transverse distribution of
participants, and the pattern of participants from the two nuclei
can have different shapes on average.  In 2012, PHENIX measured
particle production in Cu$+$Au collisions at
$\sqrt{s_{_{NN}}}=200$~GeV, and we report measurements of the
azimuthal anisotropies $v_1$, $v_2$, and $v_3$ (directed, elliptic,
and triangular flow) for inclusive and identified charged hadrons
produced at midrapidity.  Implications for a variety of unique
initial-state geometry effects will be discussed.","{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Brennan', 'last_name': 'Schaefer', 'fullName': 'Schaefer, Brennan', 'id': '933128', 'affiliation': 'Vanderbilt University', 'emailHash': '3c7a7bf2b83855d9748054a0005055ad', 'db_id': 933128, 'person_id': 998840}"
Jets and High pT Hadrons II,parallel,Exploring jet sub-structure in Pb-Pb collisions at 2.76 TeV with ALICE,"Cunqueiro Mendez, Leticia",CERN,Switzerland,"We explore  the possible modification of the inclusive charged jet substructure due to jet quenching   in Pb-Pb collisions at 2.76 TeV by measuring a set of jet shapes. The set of shapes includes the first order angularity, the pTD and the difference between the leading and subleading tracks of the jet. The shapes are measured with a constituent cutoff of 0.15 GeV and small jet resolution $R=0.2$.  New techniques for background subtraction are applied and a 2D unfolding is performed to correct the shapes to particle level. We further present differential studies of jet suppression measured via full jet $R_{\rm AA}$ as function of sub-jet structure. We systematically study the jet $R_{\rm AA}$ by selecting jets with different sub-jet structure (using  collinear and infrared safe observable(s) that are robust against heavy-ion background) and present comparison to a variety of jet quenching Monte Carlo models.","{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Leticia', 'last_name': 'Cunqueiro Mendez', 'fullName': 'Cunqueiro Mendez, Leticia', 'id': '932602', 'affiliation': 'CERN', 'emailHash': 'f2cc8c83b977683e72a6d7365c3fa513', 'db_id': 932602, 'person_id': 998399}"
