Session,Type,Title,Speaker,Institute,Country,Raw_Speaker_Data
Plenary Session VI,plenary,"Gravitational collapse, holography and hydrodynamics in extreme conditions","Chesler, Paul",Harvard,USA,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Paul', 'last_name': 'Chesler', 'fullName': 'Chesler, Paul', 'id': '932920', 'affiliation': 'Harvard', 'emailHash': 'e4a73f4fd5697c96e3d3b3a25dcf19fe', 'db_id': 932920, 'person_id': 998688}"
Plenary Session VI,plenary,Initial state of the HIC: thermalization and isotropization,"Kurkela, Eero Aleksi",CERN,Switzerland,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Eero Aleksi', 'last_name': 'Kurkela', 'fullName': 'Kurkela, Eero Aleksi', 'id': '932921', 'affiliation': 'CERN', 'emailHash': 'eb8095b42de4180e52f281f3a394f7e4', 'db_id': 932921, 'person_id': 998689}"
Plenary Session VIII,plenary,Gluon saturation and EIC,"Sichtermann, Ernst",Lawrence Berkeley National Laboratory,USA,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Ernst', 'last_name': 'Sichtermann', 'fullName': 'Sichtermann, Ernst', 'id': '932798', 'affiliation': 'Lawrence Berkeley National Laboratory', 'emailHash': '22eac3eb0d106cffdf5f913a1b2109aa', 'db_id': 932798, 'person_id': 998581}"
Plenary Session VIII,plenary,Future of Heavy Ion Physics,"Nagamiya, Shoji",RIKEN,Unknown,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Shoji', 'last_name': 'Nagamiya', 'fullName': 'Nagamiya, Shoji', 'id': '932799', 'affiliation': 'RIKEN', 'emailHash': '3b598d78b6e9108eab96daeeecfda14e', 'db_id': 932799, 'person_id': 998425}"
Plenary Session VII,plenary,Theoretical Overview on Electromagnetic radiations from QGP fluids,"Shen, Chun",McGill University,Unknown,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Chun', 'last_name': 'Shen', 'fullName': 'Shen, Chun', 'id': '932802', 'affiliation': 'McGill University', 'emailHash': '72b55f4bf65e914bcb008719cef77dbc', 'db_id': 932802, 'person_id': 998584}"
Plenary Session VIII,plenary,"Neutron star mergers, high density EoS, and gravitational waves","Shibata, Masaru",Kyoto University,Unknown,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Masaru', 'last_name': 'Shibata', 'fullName': 'Shibata, Masaru', 'id': '932804', 'affiliation': 'Kyoto University', 'emailHash': 'e97c8f524ace5f5f4d617bf6a648afad', 'db_id': 932804, 'person_id': 998586}"
Plenary Session VII,plenary,Experimental overview on jets and high pT hadrons,"Nguyen, Matthew",Centre National de la Recherche Scientifique (FR),France,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Matthew', 'last_name': 'Nguyen', 'fullName': 'Nguyen, Matthew', 'id': '932922', 'affiliation': 'Centre National de la Recherche Scientifique (FR)', 'emailHash': '33d38914460d832f26c99adfe6689633', 'db_id': 932922, 'person_id': 998690}"
Plenary Session VI,plenary,Analytic approaches to relativistic hydrodynamics,"Hatta, Yoshitaka",Japan/Yukawa Institute,UK,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Yoshitaka', 'last_name': 'Hatta', 'fullName': 'Hatta, Yoshitaka', 'id': '932923', 'affiliation': 'Japan/Yukawa Institute', 'emailHash': '42e0346b4e6db43a1df44a36a21b0ada', 'db_id': 932923, 'person_id': 998691}"
Plenary Session VII,plenary,Experimental overview on EM observabvles,"Watanabe, Yosuke",University of Tokyo (JP),Japan,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Yosuke', 'last_name': 'Watanabe', 'fullName': 'Watanabe, Yosuke', 'id': '932908', 'affiliation': 'University of Tokyo (JP)', 'emailHash': '65920b88244ebbeadce01165d99d4f37', 'db_id': 932908, 'person_id': 998678}"
Plenary Session VII,plenary,Theoretical Developments in pQCD energy loss mechanism,"Mehtar-Tani, Yacine","INT, University of Washington",Unknown,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Yacine', 'last_name': 'Mehtar-Tani', 'fullName': 'Mehtar-Tani, Yacine', 'id': '932909', 'affiliation': '', 'emailHash': '6f1628f66f92a881d7727f3c4b549e0f', 'db_id': 932909, 'person_id': 998679}"
Plenary Session V,plenary,Experimental overview on open heavy flavor,"Averbeck, Ralf",GSI - Helmholtzzentrum fur Schwerionenforschung GmbH (DE),Germany,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Ralf', 'last_name': 'Averbeck', 'fullName': 'Averbeck, Ralf', 'id': '932910', 'affiliation': 'GSI - Helmholtzzentrum fur Schwerionenforschung GmbH (DE)', 'emailHash': '4a1290bd56f58cbff7d33f3ceba2787c', 'db_id': 932910, 'person_id': 998680}"
Plenary Session V,plenary,Heavy quark transport and quarkonium production,"Zhuang, Pengfei",Tsinghua University,Unknown,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Pengfei', 'last_name': 'Zhuang', 'fullName': 'Zhuang, Pengfei', 'id': '932918', 'affiliation': 'Tsinghua University', 'emailHash': '4f6bf57476e2268ffdf6635f73c87ba6', 'db_id': 932918, 'person_id': 998609}"
Plenary Session V,plenary,Experimental overview on quarkonium production,"Arnaldi, Roberta",Universita e INFN Torino (IT),Unknown,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Roberta', 'last_name': 'Arnaldi', 'fullName': 'Arnaldi, Roberta', 'id': '932919', 'affiliation': 'Universita e INFN Torino (IT)', 'emailHash': 'c80c3ec95a2bd7e48656e070d81d7277', 'db_id': 932919, 'person_id': 998687}"
Plenary Session IV,plenary,Chiral magnetic effect in condensed matter systems,"Li, Qiang",Brookhaven National Laboratory,USA,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Qiang', 'last_name': 'Li', 'fullName': 'Li, Qiang', 'id': '933724', 'affiliation': 'Brookhaven National Laboratory', 'emailHash': '1886fadd0bf05b7db86d886136c74b85', 'db_id': 933724, 'person_id': 999228}"
Plenary Session II,plenary,Overview of recent results from the STAR experiment,"Mustafa, Mustafa",Lawrence Berkeley National Laboratory,USA,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Mustafa', 'last_name': 'Mustafa', 'fullName': 'Mustafa, Mustafa', 'id': '933715', 'affiliation': 'Lawrence Berkeley National Laboratory', 'emailHash': 'bb69149bfbf33235ee89a5b3c772431a', 'db_id': 933715, 'person_id': 999222}"
Plenary Session II,plenary,Lattice QCD : bulk and transport properties of QCD Matter,"Ratti, Claudia",University of Houston,Unknown,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Claudia', 'last_name': 'Ratti', 'fullName': 'Ratti, Claudia', 'id': '933716', 'affiliation': 'University of Houston', 'emailHash': '2cfffac6d53f8ce81a73787aa2a1bfb8', 'db_id': 933716, 'person_id': 999223}"
Plenary Session III,plenary,"Theory of collective dynamics : flow, fluctuations and correlations in heavy ion collisions","Denicol, Gabriel",McGill University,Unknown,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Gabriel', 'last_name': 'Denicol', 'fullName': 'Denicol, Gabriel', 'id': '933718', 'affiliation': 'McGill University', 'emailHash': 'c18223bf7c6c79f49ae9316ecea9dfbc', 'db_id': 933718, 'person_id': 998489}"
Plenary Session III,plenary,Experimental overview on beam energy scan,"Luo, Xiaofeng",Central China Normal University,Unknown,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Xiaofeng', 'last_name': 'Luo', 'fullName': 'Luo, Xiaofeng', 'id': '933719', 'affiliation': 'Central China Normal University', 'emailHash': 'd83c97960f73618c5f701f1551cc896f', 'db_id': 933719, 'person_id': 999225}"
Plenary Session III,plenary,QCD Critial Point and Related Observables,"Nahrgang, Marlene",Duke University,Unknown,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Marlene', 'last_name': 'Nahrgang', 'fullName': 'Nahrgang, Marlene', 'id': '933720', 'affiliation': '', 'emailHash': '4751b9ae0f461a7314fe14eb52013856', 'db_id': 933720, 'person_id': 998763}"
Plenary Session IV,plenary,Heavy-ion Collisions and Cosmology,"Floerchinger, Stefan",CERN,Switzerland,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Stefan', 'last_name': 'Floerchinger', 'fullName': 'Floerchinger, Stefan', 'id': '933721', 'affiliation': 'CERN', 'emailHash': '05a310e34cb03df7737f0eded389c6b3', 'db_id': 933721, 'person_id': 998726}"
Plenary Session IV,plenary,Femtoscopy in Relativistic Heavy Ion Collisions: An Experimental Overview at the End of the Third Decade,"Lisa, Mike",Ohio State University (US),USA,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Mike', 'last_name': 'Lisa', 'fullName': 'Lisa, Mike', 'id': '933722', 'affiliation': 'Ohio State University (US)', 'emailHash': 'acbdfe5f764f5c92ea5d3a89a4e23eaf', 'db_id': 933722, 'person_id': 999226}"
Plenary Session II,plenary,PHENIX overview,"Drees, Axel",Stony Brook University,United States,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Axel', 'last_name': 'Drees', 'fullName': 'Drees, Axel', 'id': '933920', 'affiliation': '', 'emailHash': 'c37408438f63cc57fcdb78d1b0074558', 'db_id': 933920, 'person_id': 999331}"
Plenary Session I,plenary,Overview of recent heavy-ion results from CMS,"Hong, Byungsik",Korea University (KR),KR,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Byungsik', 'last_name': 'Hong', 'fullName': 'Hong, Byungsik', 'id': '933921', 'affiliation': 'Korea University (KR)', 'emailHash': '6bc728b645bb450f19eea43901bb2e22', 'db_id': 933921, 'person_id': 999332}"
Plenary Session I,plenary,ATLAS Highlights,"Angerami, Aaron",Columbia University (US),USA,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Aaron', 'last_name': 'Angerami', 'fullName': 'Angerami, Aaron', 'id': '933928', 'affiliation': 'Columbia University (US)', 'emailHash': '11b23fd503aed050e358aa1d92b18a9d', 'db_id': 933928, 'person_id': 999336}"
