Session,Type,Title,Speaker,Institute,Country,Abstract,Raw_Speaker_Data
Poster flash talk,poster,Event-by-Event Identified Particle Ratio Fluctuations in    Pb-Pb Collisions with ALICE using     the Identity Method,"Arslandok, Mesut",Johann-Wolfgang-Goethe Univ. (DE),Germany,,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Mesut', 'last_name': 'Arslandok', 'fullName': 'Arslandok, Mesut', 'id': '933408', 'affiliation': 'Johann-Wolfgang-Goethe Univ. (DE)', 'emailHash': 'e818146389c2856728cfbb00d80587b9', 'db_id': 933408, 'person_id': 998698}"
Poster flash talk,poster,Search for light dark photon with neutral meson decays at the PHENIX experiment,"Yamaguchi, Yorito",Stony Brook University,United States,,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Yorito', 'last_name': 'Yamaguchi', 'fullName': 'Yamaguchi, Yorito', 'id': '933430', 'affiliation': '', 'emailHash': '1e69657e26d599d2aa9a46ed7e51c0d0', 'db_id': 933430, 'person_id': 999052}"
Poster flash talk,poster,Influence    of quantum conservation    laws    on particle production in    hadron collisions,"Janik, Malgorzata Anna",Warsaw University of Technology (PL),Poland,,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Malgorzata Anna', 'last_name': 'Janik', 'fullName': 'Janik, Malgorzata Anna', 'id': '934031', 'affiliation': 'Warsaw University of Technology (PL)', 'emailHash': '586d99fbc98e13e2684c8493a82bca60', 'db_id': 934031, 'person_id': 998382}"
Poster flash talk,poster,Forward di-jet production in dilute-dense collisions,"Petreska, Elena",Ecole Polytechnique,Unknown,,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Elena', 'last_name': 'Petreska', 'fullName': 'Petreska, Elena', 'id': '934044', 'affiliation': 'Ecole Polytechnique', 'emailHash': '207eeea8c64ac3ac7fda616e07eae9a5', 'db_id': 934044, 'person_id': 998730}"
Poster flash talk,poster,Sensitivity of flow harmonics to sub-nucleon scale fluctuations in heavy ion collisions,Unknown,Unknown,Unknown,,
Poster flash talk,poster,STAR Au+Au Fixed Target Results,"Meehan, Kathryn",UC Davis,Unknown,,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Kathryn', 'last_name': 'Meehan', 'fullName': 'Meehan, Kathryn', 'id': '934046', 'affiliation': 'UC Davis', 'emailHash': 'f5e4200dd608c44ceea9b49ef1c216d7', 'db_id': 934046, 'person_id': 999299}"
Poster flash talk,poster,Heavy flavored jet modification in CMS,"Jung, Kurt Eduard",Purdue University (US),USA,,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Kurt Eduard', 'last_name': 'Jung', 'fullName': 'Jung, Kurt Eduard', 'id': '934047', 'affiliation': 'Purdue University (US)', 'emailHash': '662f67b3dc3c07c49324873e9c1e0c10', 'db_id': 934047, 'person_id': 998781}"
Poster flash talk,poster,Jet fragmentation measurements in p+Pb collisions with ATLAS,"Rybar, Martin",Univ. Illinois at Urbana-Champaign (US),USA,,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Martin', 'last_name': 'Rybar', 'fullName': 'Rybar, Martin', 'id': '934052', 'affiliation': 'Univ. Illinois at Urbana-Champaign (US)', 'emailHash': 'b3e6c12fabc90ce0a37121aa6f8b6912', 'db_id': 934052, 'person_id': 998948}"
Poster Session,poster,"Characterizing the away-side jet, devoid of flow background, via two-particle and three-particle correlations in Au+Au collisions at $\sqrt{s_{NN}}$ = 200~GeV in STAR","Jiang, Kun",University of Science and Technology of China & Purdue University,USA,"Jets are modified in relativistic heavy-ion collisions due to jet-medium interactions. Measurements of jet medium modifications have so far been obscure because of the large underlying anisotropic flow background. In this analysis we devise a novel method to subtract the flow background using data themselves. We select events with a large recoil momentum ($P_x$) within a pseudorapidity ($\eta$) window of $0.5<\eta<1$ ($-1<\eta<-0.5$) from a high-$p_T$ trigger particle to enhance the away-side jet population. Di-hadron azimuthal correlations are analyzed with associated particles in two $\eta$ ranges ($-0.5<\eta<0$ and $0<\eta<0.5$) symmetric about midrapidity, one (close-region) close to and the other (far-region) far away from the $P_x$ selection $\eta$ window. The away-side jet contributes to the ""close-region"" but not as much to the ""far-region"" due to the large $\eta$ gap, while the flow contributions are equal. Assuming the $\Delta\phi$ shape of jet-like correlations does not depend on $\Delta\eta$, the correlation difference measures the away-side jet shape where the anisotropic flow background is cleanly subtracted.  

The away-side jet correlation width is studied as a function of centrality and associated particle $p_T$. The width is found to increase with centrality at modest to high associated particle $p_T$. The increase can arise from jet-medium modifications, event averaging of away-side jets deflected by medium flow, and/or simply nuclear $k_T$ broadening. To further discriminate various physics mechanisms, a three-particle correlation analysis is conducted with robust flow background subtraction also using data themselves.  Based on this analysis we discuss possible physics mechanisms of away-side broadening of jet-like correlations.","{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Kun', 'last_name': 'Jiang', 'fullName': 'Jiang, Kun', 'id': '932682', 'affiliation': 'University of Science and Technology of China & Purdue University', 'emailHash': 'c5cfb8bf3d5d9d9332aaf35b84383fc0', 'db_id': 932682, 'person_id': 998475}"
Poster Session,poster,Modelling Early Stages of Relativistic Heavy Ion Collisions: Coupling Relativistic Transport Theory to Decaying Color-electric Flux Tubes,"Ruggieri, Marco","Physics and Astronomy Department, Catania University",Unknown,"In this study we 
model early times dynamics of relativistic heavy ion collisions by an initial color electric field
which then decays to a plasma by the Schwinger mechanism,
coupling the dynamical evolution of the initial color field
to the dynamics of the many particles system produced by the decay. 
The latter
is described by relativistic kinetic theory in which we fix the ratio 
$\eta/s$ rather than insisting on specific microscopic processes,
and the backreaction on the color field is taken into account by solving
self-consistently the kinetic and the field equations.
Within a single self-consistent calculation scheme
we address the problems of isotropization and thermalization of the quark-gluon plasma
produced by the field decay, as well as the quark-gluon plasma formation time
and its chemical equilibration,
both for $1+1$D and $3+1$D expanding geometry.
We find that regardless of the viscosity of the produced plasma,
longitudinal pressure becomes positive within 0.2 fm/c.
The initial color electric field decays within $1$ fm/c;
however in the case $\eta/s$ is large, plasma oscillations appear
and affect the entire time evolution of the system. 
In case of small $\eta/s$  ($\eta/s$<0.3)
we find $\tau_{isotropization}\approx 0.8$ fm/c
and $\tau_{thermalization}\approx 1$ fm/c.
Moreover quark-gluon plasma production occurs in $\tau_{qgp}< 1$ fm/c,
and almost perfect chemical equilibration takes place within 1 fm/c.
Hence our work supports the common assumptions of hydrodynamics about 
thermalization, isotropization and equilibration of quark-gluon plasma.","{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Marco', 'last_name': 'Ruggieri', 'fullName': 'Ruggieri, Marco', 'id': '932706', 'affiliation': '', 'emailHash': '7dbee3a50d9dfce54118a7c749886eda', 'db_id': 932706, 'person_id': 998497}"
