Session,Type,Title,Speaker,Institute,Country,Raw_Speaker_Data
QCD at high temperature,parallel,Electric conductivity of hot and dense quark matter in a magnetic field with Landau level resummation via kinetic equations,"Fukushima, Kenji",The University of Tokyo,Unknown,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Kenji', 'last_name': 'Fukushima', 'fullName': 'Fukushima, Kenji', 'id': '3529156', 'affiliation': 'The University of Tokyo', 'emailHash': '7a7131b5f31f91747d95603ed64ff469', 'db_id': 3529156, 'person_id': 3639021}"
QCD at high temperature,parallel,Equation of state at finite density from the lattice,"Borsanyi, Szabolcs",University of Wuppertal,Unknown,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Szabolcs', 'last_name': 'Borsanyi', 'fullName': 'Borsanyi, Szabolcs', 'id': '3529179', 'affiliation': 'University of Wuppertal', 'emailHash': '46d76914780cb9aa62617a384674ded3', 'db_id': 3529179, 'person_id': 3645252}"
Quarkonia,parallel,Beyond nPDF effects: prompt J/$\psi$ and $\psi(2S)$ production in pPb collisions with CMS detector,"Oh, Geonhee",Chonnam National University (KR),KR,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Geonhee', 'last_name': 'Oh', 'fullName': 'Oh, Geonhee', 'id': '3691887', 'affiliation': 'Chonnam National University (KR)', 'emailHash': 'bb52adba474e5bff7817c37d9ff76a67', 'db_id': 3691887, 'person_id': 3868130}"
Initial state physics and approach to equilibrium,parallel,Measurement of exclusive Upsilon photoproduction off protons in pPb collisions at sqrt(s_NN) = 5.02 TeV with CMS,"Chudasama, Ruchi",Bhabha Atomic Research Centre (IN),India,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Ruchi', 'last_name': 'Chudasama', 'fullName': 'Chudasama, Ruchi', 'id': '3586931', 'affiliation': 'Bhabha Atomic Research Centre (IN)', 'emailHash': '14f8c3642147ce057bb38ed0424938d7', 'db_id': 3586931, 'person_id': 3769722}"
Collectivity in small systems,parallel,PHENIX Results on elliptic and triangular flow from the small-system  geometry scan at 200 GeV,"Morrow, Sylvia Irene",Vanderbilt University (US),USA,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Sylvia Irene', 'last_name': 'Morrow', 'fullName': 'Morrow, Sylvia Irene', 'id': '3552461', 'affiliation': 'Vanderbilt University (US)', 'emailHash': 'ba4fe11d699ac40618ea62fa111b20b8', 'db_id': 3552461, 'person_id': 3647315}"
Electromagnetic and weak probes,parallel,PHENIX measurement of low momentum direct photon radiation  from p$+$p and p$+$A collisions,"Khachatryan, Vladimir",Stony Brook University,USA,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Vladimir', 'last_name': 'Khachatryan', 'fullName': 'Khachatryan, Vladimir', 'id': '3552429', 'affiliation': 'Stony Brook University', 'emailHash': '000861cb38fbe8f6ae3b97cf4c81b8fc', 'db_id': 3552429, 'person_id': 3643618}"
Initial state physics and approach to equilibrium,parallel,"Collision System Dependence of Anisotropic Flow, Flow Fluctuations and Mixed Harmonic Correlations at STAR Energies","Abdelrahman""Magdy"", Niseem",Stony Brook University,USA,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Niseem', 'last_name': 'Abdelrahman""Magdy""', 'fullName': 'Abdelrahman""Magdy"", Niseem', 'id': '3580337', 'affiliation': 'Stony Brook University', 'emailHash': 'd18a1d6a028977880a8a1ee18997354b', 'db_id': 3580337, 'person_id': 3640624}"
Initial state physics and approach to equilibrium,parallel,PHENIX study of the initial state with forward hadron measurements in  200 GeV p(d)+A and $^{3}$He$+$Au collisions,"Bryslawskyj, Jason","City University of New York, Graduate Center, Baruch College",Unknown,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Jason', 'last_name': 'Bryslawskyj', 'fullName': 'Bryslawskyj, Jason', 'id': '3552524', 'affiliation': '', 'emailHash': '5ddd5d3215872417615c7a3e0e1ebf5a', 'db_id': 3552524, 'person_id': 3736331}"
"Chirality, vorticity and polarisation effects",parallel,Search for the chiral magnetic effect at the LHC with the CMS experiment,"Tu, Zhoudunming",Rice University (US),USA,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Zhoudunming', 'last_name': 'Tu', 'fullName': 'Tu, Zhoudunming', 'id': '3725680', 'affiliation': 'Rice University (US)', 'emailHash': '36420c18f80ddec56eff31ea4e928c9a', 'db_id': 3725680, 'person_id': 3755614}"
Jet modifications and high-pT hadrons,parallel,"Energy and system dependence of nuclear modification factors of inclusive charged particles and identified light hadrons measured in p-Pb, Xe-Xe and Pb-Pb collisions with ALICE","Sekihata, Daiki",Hiroshima University (JP),Japan,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Daiki', 'last_name': 'Sekihata', 'fullName': 'Sekihata, Daiki', 'id': '3553769', 'affiliation': 'Hiroshima University (JP)', 'emailHash': '66e4e193ac1d34c15c7beb254dc6b695', 'db_id': 3553769, 'person_id': 3641837}"
