Session,Type,Title,Speaker,Institute,Country,Raw_Speaker_Data
Poster Session,poster,Dijet invariant mass in pp and p--Pb collisions with ALICE,"Saarimaki, Oskari Antti Matti",Helsinki Institute of Physics (FI),FI,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Oskari Antti Matti', 'last_name': 'Saarimaki', 'fullName': 'Saarimaki, Oskari Antti Matti', 'id': '4554431', 'affiliation': 'Helsinki Institute of Physics (FI)', 'emailHash': '27bee4fcbf8218ed1ff7de494e99faff', 'db_id': 4554431, 'person_id': 4585944}"
Poster Session,poster,Chiral soliton lattice in dense matter under rotation,"Nishimura, Kentaro",Keio University,Unknown,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Kentaro', 'last_name': 'Nishimura', 'fullName': 'Nishimura, Kentaro', 'id': '4554350', 'affiliation': 'Keio University', 'emailHash': 'c994e89be6c3c4fa438b5b63236e9c77', 'db_id': 4554350, 'person_id': 4587998}"
Poster Session,poster,Readout electronics for the sPHENIX Time Projection Chamber,sPHENIX Collaboration,Unknown,Unknown,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': '', 'last_name': 'sPHENIX Collaboration', 'fullName': 'sPHENIX Collaboration', 'id': '4554122', 'affiliation': '', 'emailHash': None, 'db_id': 4554122, 'person_id': 4586105}"
Poster Session,poster,Module and ladder assembly techniques for the Silicon Tracking System of the CBM experiment at FAIR,"Mehta, Shaifali",University of Tübingen,Unknown,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Shaifali', 'last_name': 'Mehta', 'fullName': 'Mehta, Shaifali', 'id': '4554104', 'affiliation': 'University of Tübingen', 'emailHash': '364e3031a6a531ef31abf993662bb94c', 'db_id': 4554104, 'person_id': 4585464}"
Poster Session,poster,The new hybrid tracking system of the Baryonic Matter at the Nuclotron (BM@N) experiment at JINR,"Dementiev, Dmitry",JINR Dubna,Russia,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Dmitry', 'last_name': 'Dementiev', 'fullName': 'Dementiev, Dmitry', 'id': '4554111', 'affiliation': 'JINR Dubna', 'emailHash': '2383555201a49c865a56521cc732f7cc', 'db_id': 4554111, 'person_id': 4564849}"
Poster Session,poster,Ion Backflow Studies for the sPHENIX TPC,sPHENIX Collaboration,Unknown,Unknown,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': '', 'last_name': 'sPHENIX Collaboration', 'fullName': 'sPHENIX Collaboration', 'id': '4554115', 'affiliation': '', 'emailHash': None, 'db_id': 4554115, 'person_id': 4586103}"
Poster Session,poster,Factorization breaking in transverse momentum from hydrodynamic fluctuations,"Gogun, Yuki",Sophia University,Unknown,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Yuki', 'last_name': 'Gogun', 'fullName': 'Gogun, Yuki', 'id': '4554118', 'affiliation': 'Sophia University', 'emailHash': '7c1aab1a053d8c1909568693e97dc76c', 'db_id': 4554118, 'person_id': 4583206}"
Poster Session,poster,High transverse momentum direct photons in p+Au collisions in PHENIX at RHIC,"Sun, Zhandong",University of Debrecen,Unknown,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Zhandong', 'last_name': 'Sun', 'fullName': 'Sun, Zhandong', 'id': '4554130', 'affiliation': 'University of Debrecen', 'emailHash': 'a4c6f73466a9cbbaf210e6a89fd1cced', 'db_id': 4554130, 'person_id': 4586143}"
Poster Session,poster,Azimuthal anisotropy measurement of strange hadrons in Au+Au collisions at $\sqrt{s_{NN}}$ = 27 and 54.4 GeV at STAR,"Nasim, Mohammad ",IISER Berhampur,Unknown,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Mohammad ', 'last_name': 'Nasim', 'fullName': 'Nasim, Mohammad ', 'id': '4672501', 'affiliation': 'IISER Berhampur', 'emailHash': '0751190aa25559bf6e861640bc0b0c57', 'db_id': 4672501, 'person_id': 4761715}"
Poster Session,poster,Effect of Magnetic field on Electrical Conductivity of QCD Plasma,"Srivastava, P. K. ",Indian Institute of Technology Roapar,Unknown,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'P. K. ', 'last_name': 'Srivastava', 'fullName': 'Srivastava, P. K. ', 'id': '4554222', 'affiliation': 'Indian Institute of Technology Roapar', 'emailHash': '705c47f21494a22008a498bc0ad224c9', 'db_id': 4554222, 'person_id': 4586546}"
