Session,Type,Title,Speaker,Institute,Country,Raw_Speaker_Data
Early Career Researcher Day,other,B: Question from the box/Discussion (Lecture hall H2),Unknown,Unknown,Unknown,
Early Career Researcher Day,other,"B: Detector concepts, road to particle detection (Lecture hall H2)","Gasik, Piotr",GSI - Helmholtzzentrum fur Schwerionenforschung GmbH (DE),Germany,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Piotr', 'last_name': 'Gasik', 'fullName': 'Gasik, Piotr', 'id': '9417264', 'affiliation': 'GSI - Helmholtzzentrum fur Schwerionenforschung GmbH (DE)', 'emailHash': '5d624ba954b856fee294ef39316fe12f', 'db_id': 9417264, 'person_id': 9160002}"
Early Career Researcher Day,other,General discussion of remaining questions (Lecture hall H1),Unknown,Unknown,Unknown,
Early Career Researcher Day,other,Question from the box/Discussion (Lecture hall H1),Unknown,Unknown,Unknown,
Early Career Researcher Day,other,High density QCD/Phase diagram (Lecture hall H1),"Vovchenko, Volodymyr",University of Houston,Unknown,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Volodymyr', 'last_name': 'Vovchenko', 'fullName': 'Vovchenko, Volodymyr', 'id': '9417334', 'affiliation': 'University of Houston', 'emailHash': 'aac727a4ed7f29c5f8821cc339003226', 'db_id': 9417334, 'person_id': 8877848}"
Early Career Researcher Day,other,Questions from the box/Discussion (Lecture hall H1),Unknown,Unknown,Unknown,
Early Career Researcher Day,other,Heavy flavor (Lecture hall H1),"Averbeck, Ralf",GSI - Helmholtzzentrum fur Schwerionenforschung GmbH (DE),Germany,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Ralf', 'last_name': 'Averbeck', 'fullName': 'Averbeck, Ralf', 'id': '9417333', 'affiliation': 'GSI - Helmholtzzentrum fur Schwerionenforschung GmbH (DE)', 'emailHash': 'e12286cc0dd40a2d655d7162a8d393d3', 'db_id': 9417333, 'person_id': 9160041}"
Early Career Researcher Day,other,Jets (Lecture hall H1),"Andres, Carlota",MIT,USA,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Carlota', 'last_name': 'Andres', 'fullName': 'Andres, Carlota', 'id': '9417329', 'affiliation': 'MIT', 'emailHash': 'df49632b5ba902b453a88745754c7eef', 'db_id': 9417329, 'person_id': 8884463}"
Early Career Researcher Day,other,Question from the box/Discussion (Lecture hall H1),Unknown,Unknown,Unknown,
Early Career Researcher Day,other,Polarization/Vorticity (Lecture hall H1),"Shen, Diyu",Unknown,Unknown,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Diyu', 'last_name': 'Shen', 'fullName': 'Shen, Diyu', 'id': '9417300', 'affiliation': '', 'emailHash': 'e9b7932f4418ba2457e21e0bef6a7494', 'db_id': 9417300, 'person_id': 9160023}"
Early Career Researcher Day,other,Dynamical evolution/collective dynamics (Lecture hall H1),"Kanakubo, Yuuka",RIKEN iTHEMS / Lawrence Berkeley National Laboratory,USA,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Yuuka', 'last_name': 'Kanakubo', 'fullName': 'Kanakubo, Yuuka', 'id': '9417268', 'affiliation': 'RIKEN iTHEMS / Lawrence Berkeley National Laboratory', 'emailHash': '9ca43bca80fce86fc21862f15fa2fe3e', 'db_id': 9417268, 'person_id': 8891034}"
Early Career Researcher Day,other,A: Questions from the box/Discussion (Lecture hall H1),Unknown,Unknown,Unknown,
Early Career Researcher Day,other,A: Theory for heavy ions and how to compare to data (Lecture hall H1),"Van Der Schee, Wilke",CERN,Switzerland,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Wilke', 'last_name': 'Van Der Schee', 'fullName': 'Van Der Schee, Wilke', 'id': '9417261', 'affiliation': 'CERN', 'emailHash': 'ac9ef8d18cffa0dd05c90d0070af15d6', 'db_id': 9417261, 'person_id': 8932581}"
