Session/Category,Title,Speaker,Institute,Country
Parallel session 33,Dilepton polarization as a signature of plasma anisotropy,Maurice Coquet,Centre National de la Recherche Scientifique (FR),France
Parallel session 33,Electromagnetic tomography of Quark-Gluon Plasma at finite baryon densities,Anthony Alaoui,Wayne State University,Italy
Parallel session 33,Thermal dielectron measurements with the STAR experiment,Jiaxuan Luo,No affiliation,Unknown
Parallel session 33,Early EM fields in PbPb collisions via their effect on dimuon decays of Z bosons and top quark production with CMS,Jose Francisco Gonzalez,University of California Davis (US),USA
Parallel session 33,Direct photon production from small to large collision systems with ALICE,Joshua Leon Konig,Goethe University Frankfurt (DE),Germany
Parallel sessions 26,The electric conductivity of nuclear matter along the QCD phase transition line,Joseph Atchison,Abilene Christian University,Italy
Parallel sessions 26,Imprints of dynamic fluidization on dilepton production,Renan Góes-Hirayama,Frankfurt Institute for Advanced Studies,France
Parallel sessions 26,Dielectron production in pp and Pb-Pb collisions with ALICE in Run 3,Florian Eisenhut,Goethe University Frankfurt (DE),Germany
Parallel sessions 26,Studying properties of baryon-dominated matter with dileptons,Niklas Schild,No affiliation,Unknown
Parallel sessions 26,Direct virtual photon measurements in Au+Au collisions with STAR BES-II data,xianwen bao,No affiliation,Unknown
Parallel sessions 26,Low $p_T$ direct photon results with PHENIX and their bearing on the direct photon puzzle,Gabor David,No affiliation,Unknown
,Quark damping rate and conductivity of strongly magnetized QGP,Igor Shovkovy,Arizona State University,Italy
Parallel session 8,The first measurement of energy-energy correlator of jets in PbPb collisions at CMS,Jussi Viinikainen,Vanderbilt University (US),USA
Parallel session 8,Exotic hadron production in and out of jets at LHCb,Ezra Lesser,CERN,Switzerland
Parallel session 8,sPHENIX measurements of high-pT neutral mesons and isolated photons in p+p collisions,Jaebeom Park,No affiliation,Unknown
Parallel session 8,A generalized picture of colour decoherence in dense QCD media,Xoán Mayo López,Universidade de Santiago de Compostela - IGFAE,Germany
Parallel session 8,Energy correlators for gluon splitting to heavy quarks,João Martins da Silva,LIP - Lisboa / ULisboa - IST,LIP - Lisboa / ULisboa - IST
Parallel session 28,First measurement of jet axis decorrelation for detecting in-medium momentum broadening in photon-tagged jets PbPb at 5.02 TeV with CMS,Lida Kalipoliti,"LLR, École Polytechnique (FR)",France
Parallel session 28,First evidence of the medium response to hard probes with Z-hadron correlations in PbPb and pp collisions at $\sqrt{s_\mathrm{NN}} = 5.02$ TeV,Yen-Jie Lee,Massachusetts Inst. of Technology (US),USA
Parallel session 28,First measurement of full event energy-energy correlation in high-Z tagged events in PbPb collisions in CMS,Yi Chen,Vanderbilt University (US),USA
Parallel session 28,"Jet Elliptic Anisotropy and Suppression in PbPb, AuAu and OO",Yacine Mehtar-Tani,Brookhaven National Laboratory,USA
Parallel session 28,"Jet Elliptic Anisotropy and Suppression in PbPb, AuAu and OO",Daniel Pablos,"IGFAE, USC",USA
Parallel session 28,"Jet Elliptic Anisotropy and Suppression in PbPb, AuAu and OO",Adam Takacs,Heidelberg University,Germany
